,distance [nm],field [T],lock-x [mHz],lock-y [mHz]
0,1055.9754,0.5,5.02760849009,-1.20742567704
1,1055.9754,0.5025,4.88468197014,-0.910149045083
2,1055.9754,0.505,4.90847956602,-0.948301576438
3,1055.9754,0.5075,4.99026825239,-0.928152000313
4,1055.9754,0.51,4.9138702913,-1.09009346175
5,1055.9754,0.5125,4.8421504573,-1.12864809179
6,1055.9754,0.5149,5.07366558948,-1.06383077596
7,1055.9754,0.5175,4.65696855268,-1.02804723585
8,1055.9754,0.52,4.79361485847,-1.20269170678
9,1055.9754,0.5225,4.89513191805,-1.22913869406
10,1055.9754,0.525,4.74501735676,-1.22936347427
11,1055.9754,0.5275,4.83576896015,-1.10808163084
12,1055.9754,0.53,5.05010360691,-1.03043978529
13,1055.9754,0.5325,4.9081172615,-1.17986498479
14,1055.9754,0.535,4.92892793647,-1.17810317396
15,1055.9754,0.5376,4.96739480182,-1.05178254566
16,1055.9754,0.54,4.7561060901,-1.17262522898
17,1055.9754,0.5425,4.79891309273,-1.120356989
18,1055.9754,0.545,4.98053435729,-1.09008794941
19,1055.9754,0.5475,4.75778394943,-1.0461621708
20,1055.9754,0.55,4.68148879511,-0.956494741688
21,1055.9754,0.5525,4.97544515709,-1.06530384547
22,1055.9754,0.555,4.81263247619,-0.948296100113
23,1055.9754,0.5575,4.92970924634,-0.988194736158
24,1055.9754,0.56,4.86681661821,-0.964382654399
25,1055.9754,0.5625,4.86395153054,-0.950455525541
26,1055.9754,0.565,4.65512630801,-1.11918906849
27,1055.9754,0.5675,4.79634552636,-0.993979936919
28,1055.9754,0.57,4.84667692649,-1.1868473064
29,1055.9754,0.5725,4.86430384332,-1.08296891956
30,1055.9754,0.575,5.12184356441,-1.23438946072
31,1055.9754,0.5775,4.61514902257,-1.02913016843
32,1055.9754,0.58,4.69425013862,-1.19703444147
33,1055.9754,0.5825,4.8159714909,-0.964308928483
34,1055.9754,0.585,4.78216472229,-1.05637938207
35,1055.9754,0.5875,4.71104510474,-1.13254022049
36,1055.9754,0.59,5.02626746819,-1.08913453729
37,1055.9754,0.5926,4.81953019952,-1.07132706804
38,1055.9754,0.595,4.78453883587,-1.09735010323
39,1055.9754,0.5975,4.44263839113,-1.25164912407
40,1055.9754,0.6,4.832802847,-1.12928762066
41,1055.9754,0.6025,4.76647696873,-1.01358125945
42,1055.9754,0.605,4.71755421819,-1.17502136999
43,1055.9754,0.6075,4.86671008155,-1.10980171654
44,1055.9754,0.61,4.55100100663,-1.22460814036
45,1055.9754,0.6125,4.70941792761,-1.1708977808
46,1055.9754,0.615,4.92448553371,-0.957530849452
47,1055.9754,0.6175,4.72781579245,-1.27031684076
48,1055.9754,0.62,8.81208613655,-1.03983883295
49,1055.9754,0.6225,16.8828089061,-1.48508572249
