,distance [nm],field [T],lock-x [mHz],lock-y [mHz]
79,130.9068,0.6975,4.23508928439,-1.1511056594
80,130.9068,0.7,3.49985713528,-1.41918575925
81,130.9068,0.7025,3.10168965793,-0.982058540257
82,130.9068,0.705,1.63965954296,-1.42250164313
83,130.9068,0.7075,1.20161203335,-0.907762714559
84,130.9068,0.71,0.584807643107,-1.04942683873
85,130.9068,0.7125,-0.132599848452,-1.65828899918
86,130.9068,0.715,-0.51784296572,-1.48836353703
87,130.9068,0.7175,-1.15896297621,-1.25874721067
88,130.9068,0.72,-2.39503336091,-1.67125592499
89,130.9068,0.7225,-3.1154983164,-1.56987344503
90,130.9068,0.725,-3.76427409981,-1.31844978364
91,130.9068,0.7275,-4.32843641661,-1.42257325925
92,130.9068,0.73,-4.73721527533,-1.02012931753
93,130.9068,0.7325,-3.31370791608,-1.63270029327
94,130.9068,0.735,-2.75384582228,-1.30302117434
95,130.9068,0.7375,-1.23975375648,-1.21096292418
96,130.9068,0.74,-0.023390991385,-1.18633251643
97,130.9068,0.7425,1.14136047486,-0.944718959845
98,130.9068,0.745,2.62301272494,-1.71174446674
99,130.9068,0.7475,3.97870517051,-1.63772115059
100,130.9068,0.75,4.98158337291,-0.921821182557
101,130.9068,0.7525,5.06737852494,-1.67388581065
102,130.9068,0.755,5.39038343064,-0.614309192121
103,130.9068,0.7575,5.71994248094,-1.17881904164
104,130.9068,0.76,5.61231008898,-0.824728459354
105,130.9068,0.7625,5.65892530777,-0.941987854807
106,130.9068,0.765,5.19196191842,-1.27840895435
107,130.9068,0.7675,5.77343344212,-1.09955295393
108,130.9068,0.77,5.77110418753,-1.12421826756
109,130.9068,0.7726,5.50189506112,-1.09559757995
110,130.9068,0.775,5.90327866042,-0.78723334348
111,130.9068,0.7775,5.31912094198,-1.41535939476
112,130.9068,0.78,5.56685465094,-0.934818159705
113,130.9068,0.7825,5.32850013745,-1.151671716
114,130.9068,0.785,5.27936063701,-1.19603459285
115,130.9068,0.7875,5.57777253397,-1.10834741573
116,130.9068,0.79,5.34498752471,-1.16934836817
117,130.9068,0.7925,5.439500467,-0.950145014643
118,130.9068,0.795,5.82842498615,-1.12858744976
119,130.9068,0.7975,5.57950841209,-0.922910777967
120,130.9068,0.8,5.75154800831,-1.53002558817
121,130.9068,0.8025,4.95656708298,-0.782860649659
122,130.9068,0.805,5.44050109481,-1.28079576279
123,130.9068,0.8075,5.5130494828,-1.20485967868
124,130.9068,0.81,4.77679957135,-0.692060817356
125,130.9068,0.8125,5.33061827494,-1.08415681431
126,130.9068,0.815,5.45412329561,-1.5651061838
127,130.9068,0.8175,5.04818972074,-1.48686248827
128,130.9068,0.82,5.30781403415,-0.927015742641
129,130.9068,0.8225,4.98212855449,-1.24812947244
130,130.9068,0.825,5.18104528244,-0.563204900596
131,130.9068,0.8275,5.2303126972,-0.534530640076
132,130.9068,0.83,5.11358264766,-1.5824796533
133,130.9068,0.8325,4.90397765076,-1.15822231885
134,130.9068,0.835,5.15854883372,-1.20990721654
135,130.9068,0.8375,5.43968894633,-0.9026171963
136,130.9068,0.84,5.00996513564,-1.20701482882
137,130.9068,0.8425,5.1908227855,-1.19080516127
138,130.9068,0.845,5.27872402625,-1.2067224443
139,130.9068,0.8475,5.55891951644,-1.4202372274
140,130.9068,0.85,4.98221140744,-1.23991492573
141,130.9068,0.8525,5.12028674471,-1.69885745264
142,130.9068,0.855,4.98184774245,-1.28404704991
143,130.9068,0.8575,5.31780130547,-1.05543566384
144,130.9068,0.8601,4.89493114664,-0.94801071067
145,130.9068,0.8625,5.49654898832,-1.10469833407
146,130.9068,0.865,5.19053907188,-1.3923491356
147,130.9068,0.8675,5.21037953496,-1.28783267096
148,130.9068,0.87,5.56055126844,-0.876736370852
149,130.9068,0.8725,5.02437354668,-0.698796177632
150,130.9068,0.875,5.10961050813,-1.09725431295
151,130.9068,0.8775,4.98642112434,-1.00759685274
152,130.9068,0.88,5.33071586838,-1.19091184839
153,130.9068,0.8825,5.42457616695,-0.952478042694
154,130.9068,0.885,5.73824304787,-1.36247393578
155,130.9068,0.8876,5.0936726639,-1.03504639818
156,130.9068,0.89,4.78498856946,-1.3627390418
157,130.9068,0.8925,5.65022225685,-1.59268378059
158,130.9068,0.8949,5.03227845693,-0.823962133443
159,130.9068,0.8975,5.067334173,-1.20295532624
