,distance [nm],field [T],lock-x [mHz],lock-y [mHz]
0,130.9068,0.5,4.7601607657,-0.737211234034
1,130.9068,0.5025,5.27152472281,-1.20395931545
2,130.9068,0.505,5.16368753375,-0.746740939092
3,130.9068,0.5075,4.94118114315,-1.52447536025
4,130.9068,0.51,5.43777885595,-1.32964720661
5,130.9068,0.5125,5.1257544341,-0.896872916378
6,130.9068,0.515,4.66408685905,-0.98934868077
7,130.9068,0.5175,5.35353394057,-0.704639753454
8,130.9068,0.52,5.05540819455,-0.831574099039
9,130.9068,0.5225,5.22530778155,-1.53872098988
10,130.9068,0.525,5.21273140165,-1.19494802882
11,130.9068,0.5275,4.52955029012,-1.41220054967
12,130.9068,0.53,4.97395886367,-0.841647611337
13,130.9068,0.5325,5.05472797272,-1.16007451451
14,130.9068,0.535,5.17691276126,-1.12790821123
15,130.9068,0.5375,4.90918523435,-1.22792863117
16,130.9068,0.54,4.95095755801,-1.5242810946
17,130.9068,0.5425,4.49558349418,-0.54939223726
18,130.9068,0.545,4.75426382806,-1.01249629657
19,130.9068,0.5475,5.4131995113,-1.22068280167
20,130.9068,0.55,5.25635406657,-1.17392642203
21,130.9068,0.5525,4.62948753838,-0.498827327592
22,130.9068,0.555,4.98216705442,-1.1978104003
23,130.9068,0.5575,5.23104821201,-1.41021820638
24,130.9068,0.5601,4.51966450845,-1.38946667724
25,130.9068,0.5625,5.1235729804,-0.700657828571
26,130.9068,0.565,5.11903658058,-0.989852590614
27,130.9068,0.5675,4.68115172682,-0.76431475098
28,130.9068,0.57,5.04301252567,-0.965372783168
29,130.9068,0.5725,5.28668287492,-0.816737284215
30,130.9068,0.575,4.85025523599,-1.18807225247
31,130.9068,0.5775,5.32864319105,-1.15893449248
32,130.9068,0.58,4.80670255077,-0.826484940486
33,130.9068,0.5825,5.18879883347,-1.07701231812
34,130.9068,0.585,4.59585011187,-1.36354660257
35,130.9068,0.5875,5.28543472953,-1.37978469079
36,130.9068,0.5901,5.01714890764,-1.34007798663
37,130.9068,0.5925,4.75099140105,-0.617577014317
38,130.9068,0.595,4.71620507517,-0.716496362325
39,130.9068,0.5975,4.8305100649,-0.505077350394
40,130.9068,0.6,5.35464947328,-1.01606331607
41,130.9068,0.6025,10.046680165,-1.56505359096
42,130.9068,0.605,16.8634834002,-1.29262211067
43,130.9068,0.6075,25.374376773,-1.2635451394
44,130.9068,0.61,28.7448093593,-0.725685622781
45,130.9068,0.6125,27.0351756639,-1.28147439993
46,130.9068,0.6151,22.3060614277,-0.934034903264
47,130.9068,0.6175,16.6436067696,-0.942347797815
48,130.9068,0.62,8.64843488382,-1.38451369079
49,130.9068,0.6225,-0.556827415282,-1.74524588715
50,130.9068,0.6251,-12.9286579204,-0.393395371978
51,130.9068,0.6275,-22.4981296289,-1.27389330478
52,130.9068,0.63,-13.8639658806,-1.13311841178
53,130.9068,0.6325,-1.09571785574,-0.421154884059
54,130.9068,0.635,5.42706684962,-1.28738215225
55,130.9068,0.6375,8.17890829421,-1.05965586129
56,130.9068,0.64,9.51611221605,-0.439275673098
57,130.9068,0.6425,10.6792855837,-0.649040424967
58,130.9068,0.645,11.3069215269,-0.801929312547
59,130.9068,0.6475,11.2550110547,-0.657107148476
60,130.9068,0.65,11.6577273793,-1.09269672929
61,130.9068,0.6525,11.8048211591,-1.25202597045
62,130.9068,0.6549,11.3614787481,-1.10686310184
63,130.9068,0.6575,10.5749065331,-0.992900312929
64,130.9068,0.66,10.8575082295,-0.898573825377
65,130.9068,0.6625,9.45199958242,-0.344626854607
66,130.9068,0.665,9.20796981039,-0.129751843196
67,130.9068,0.6675,8.41379658644,-1.17785184564
68,130.9068,0.67,8.49095714583,-0.527547655014
69,130.9068,0.6725,9.07084503689,-1.52603180203
70,130.9068,0.675,8.3063532104,-0.737406345297
71,130.9068,0.6775,7.86448053112,-1.50525314858
72,130.9068,0.68,6.92465776315,-0.864567582135
73,130.9068,0.6825,6.95979721747,-1.19521551862
74,130.9068,0.685,6.56149639057,-0.92779549674
75,130.9068,0.6875,6.12880679942,-0.849468416826
76,130.9068,0.69,5.3464115059,-1.14229759791
77,130.9068,0.6925,4.9309150612,-0.927220792225
78,130.9068,0.695,4.31424708314,-0.627218269365
