,distance [nm],field [T],lock-x [mHz],lock-y [mHz]
109,50.49,0.7725,3.3352576629,-0.924901167328
110,50.49,0.775,3.73033096586,-2.02275433812
111,50.49,0.7775,3.72094230527,-1.65860509627
112,50.49,0.78,3.21712832775,-0.827896215679
113,50.49,0.7825,4.16261944898,-1.35037697634
114,50.49,0.785,4.6594127718,-1.40160105958
115,50.49,0.7875,4.99487385933,-1.37537228344
116,50.49,0.79,5.23570102275,-1.09900600173
117,50.49,0.7925,5.56013221716,-0.81008618867
118,50.49,0.795,4.9427243535,-1.04093287226
119,50.49,0.7975,4.75959411825,-0.726731454859
120,50.49,0.8,4.97971405165,-1.59828983184
121,50.49,0.8025,4.89202710429,-1.32351697143
122,50.49,0.805,4.84452166079,-1.03300565937
123,50.49,0.8075,4.8287035397,-0.891697211063
124,50.49,0.81,4.18764079246,-1.24527368732
125,50.49,0.8124,4.44374943809,-1.05692058296
126,50.49,0.815,4.97608975742,-1.26790376226
127,50.49,0.8176,5.1740076602,-1.30823775656
128,50.49,0.82,5.04488705617,-0.996803306752
129,50.49,0.8225,4.86569370919,-1.44335276509
130,50.49,0.825,5.52339510147,-1.10537207725
131,50.49,0.8275,4.47326149164,-1.2509755879
132,50.49,0.83,5.00566385292,-1.09361160767
133,50.49,0.8325,4.68256731227,-0.667813525893
134,50.49,0.835,4.82666589984,-0.199084251863
135,50.49,0.8375,5.41487286963,-0.800843437364
136,50.49,0.84,4.63453600621,-1.21553143942
137,50.49,0.8425,4.82463048793,-1.04356736653
138,50.49,0.845,4.6140562953,-0.212851674788
139,50.49,0.8476,5.5106347809,-1.45008377886
140,50.49,0.8501,4.78208487137,-1.33969771114
141,50.49,0.8525,5.13505841423,-0.969143698899
142,50.49,0.855,4.94637797285,-1.24072151052
143,50.49,0.8576,5.09223737225,-0.961766908023
144,50.49,0.86,4.92903143947,-1.30391905109
145,50.49,0.8625,4.59214167531,-1.36702968977
146,50.49,0.865,4.13059670079,-1.38294081346
147,50.49,0.8675,5.40450039475,-0.989132123042
148,50.49,0.87,5.45093849913,-1.16326968256
149,50.49,0.8725,4.53182306737,-0.818646486599
150,50.49,0.875,4.58448226203,-1.36252128651
151,50.49,0.8775,4.89518312129,-0.331464318827
152,50.49,0.88,5.1979018751,-1.35415128375
153,50.49,0.8825,4.87687362839,-0.298274308569
154,50.49,0.885,4.85447000418,-0.969278522003
155,50.49,0.8875,4.49166242834,-1.23608225422
156,50.49,0.89,5.21281033584,-1.13284115571
157,50.49,0.8925,4.94244483248,-0.456347937508
158,50.49,0.895,4.67430674676,-1.22389997367
159,50.49,0.8975,4.67718993829,-1.36522399143
