,distance [nm],field [T],lock-x [mHz],lock-y [mHz]
0,50.49,0.4999,4.36829459203,-1.00087324801
1,50.49,0.5025,4.74617056714,-0.731487650415
2,50.49,0.505,4.35848943342,-0.420404734001
3,50.49,0.5075,4.86903739814,-0.477558611578
4,50.49,0.51,4.98747761435,-0.476951662961
5,50.49,0.5125,4.49594951256,-1.25393966882
6,50.49,0.515,4.84173891837,-0.693195354598
7,50.49,0.5175,4.86509850962,-1.28114579122
8,50.49,0.52,4.69926831095,-0.543661689914
9,50.49,0.5225,4.26957996862,0.035429946649
10,50.49,0.525,4.55700778173,-1.28177183737
11,50.49,0.5275,4.19122333997,-0.858756494648
12,50.49,0.53,4.18506442669,-0.935776660132
13,50.49,0.5326,4.17271451814,-0.536879088151
14,50.49,0.5349,4.73886744527,-1.66859458775
15,50.49,0.5375,4.61662205595,-0.998890267739
16,50.49,0.54,4.56120741946,-0.50271177789
17,50.49,0.5425,4.45533256852,-0.994512905838
18,50.49,0.545,4.60200401704,-0.585371089021
19,50.49,0.5475,4.30212916381,-0.683847838464
20,50.49,0.55,4.09379238134,-1.53985515587
21,50.49,0.5525,4.22915715182,-0.959257038705
22,50.49,0.555,4.3999699501,-0.623567362541
23,50.49,0.5575,5.01980661562,-1.25837024685
24,50.49,0.56,4.39588345654,-0.368290983751
25,50.49,0.5625,4.68328227659,-0.752742183396
26,50.49,0.565,4.93655062841,-0.489896130447
27,50.49,0.5675,4.84850032383,-1.22935075436
28,50.49,0.57,4.8198295125,-1.11729004484
29,50.49,0.5725,4.4246411308,-0.680141477516
30,50.49,0.575,4.92345835107,-1.47922696179
31,50.49,0.5775,4.49848272771,-0.893556999274
32,50.49,0.58,4.82719331108,-0.947074513645
33,50.49,0.5825,4.72144675112,-1.17835454677
34,50.49,0.585,4.08069397789,-0.668956714869
35,50.49,0.5875,4.58643697732,-0.814066724947
36,50.49,0.59,4.89919399714,-0.567417063039
37,50.49,0.5925,4.50205766225,-1.44047088393
38,50.49,0.595,6.6695674998,-1.44378750668
39,50.49,0.5975,10.6260815332,-0.601320586905
40,50.49,0.6,17.8616510419,-0.787471627781
41,50.49,0.6024,24.8799553626,-0.965023754507
42,50.49,0.605,29.6029169585,-1.40641576326
43,50.49,0.6075,29.2363739616,-1.11482124566
44,50.49,0.61,26.51476633,-0.941860367075
45,50.49,0.6125,20.7038978625,-0.554824153903
46,50.49,0.615,14.8309811728,-0.969607929373
47,50.49,0.6175,8.26937649578,-1.17692314609
48,50.49,0.62,0.528871459801,-0.519992312367
49,50.49,0.6225,-10.2435246168,-0.653096086641
50,50.49,0.625,-25.3381513001,-0.695930599614
51,50.49,0.6275,-24.1096622246,-1.01641830382
52,50.49,0.63,-9.69745332806,-0.862786981516
53,50.49,0.6325,0.734000705335,-1.43926963602
54,50.49,0.635,5.68288453294,-1.28341975936
55,50.49,0.6375,7.99082979453,-0.256957235481
56,50.49,0.6401,9.44890572415,-1.1833018343
57,50.49,0.6425,11.2708344196,-0.838073783629
58,50.49,0.645,11.1470655822,-1.0067651118
59,50.49,0.6475,11.9620787875,-1.02252366198
60,50.49,0.65,11.1343754819,-1.1908653507
61,50.49,0.6525,11.7982088328,-0.307780592103
62,50.49,0.655,11.482929765,-0.235988664009
63,50.49,0.6575,11.7978990963,-0.909727117937
64,50.49,0.66,11.1736326299,0.0477731380032
65,50.49,0.6625,10.0042890899,-0.743000978985
66,50.49,0.665,10.3519057373,-0.51759234569
67,50.49,0.6676,9.90943189793,-0.647531287241
68,50.49,0.67,9.51149456398,-1.21982346706
69,50.49,0.6725,9.24834612769,-0.779067871836
70,50.49,0.675,9.096006777,-0.344499754985
71,50.49,0.6776,7.74173956496,-0.983944232207
72,50.49,0.68,7.82131836385,-0.382459802542
73,50.49,0.6825,8.00193990363,-1.37946881726
74,50.49,0.685,8.41104827253,-0.621940352134
75,50.49,0.6875,7.54498126167,-1.31543632324
76,50.49,0.69,6.6449647057,-0.75037955407
77,50.49,0.6925,6.29991630113,-0.688246780487
78,50.49,0.695,6.05731885037,-0.870864674672
79,50.49,0.6975,5.5170932676,-0.76920193728
80,50.49,0.7001,4.85170525398,-1.69629062296
81,50.49,0.7025,4.86865880739,-0.670093509207
82,50.49,0.705,4.21178654385,-1.34442259146
83,50.49,0.7075,3.37432714816,-0.966585003984
84,50.49,0.7101,2.81325405935,-0.771757995318
85,50.49,0.7125,2.69192879516,-0.534237934026
86,50.49,0.715,2.44388353245,-1.07135857953
87,50.49,0.7175,1.22934477413,-1.39599302647
88,50.49,0.72,0.648896623097,-0.913746727905
89,50.49,0.7226,-0.0127592813999,-1.40849934161
90,50.49,0.725,-0.159502420668,-1.77274808688
91,50.49,0.7275,-0.724530104164,-0.883760193393
92,50.49,0.7299,-2.23837711944,-1.23670618451
93,50.49,0.7325,-2.40145554465,-1.5194602265
94,50.49,0.7351,-3.41265311917,-1.68204914756
95,50.49,0.7375,-4.21045758318,-1.53061828822
96,50.49,0.74,-4.5575857257,-0.385108746822
97,50.49,0.7425,-5.1296167029,-1.24012823028
98,50.49,0.745,-4.55935606257,-1.6225547885
99,50.49,0.7475,-4.50920618487,-1.28031485737
100,50.49,0.75,-3.2703892081,-1.07291005369
101,50.49,0.7525,-1.86305761799,-1.7385044109
102,50.49,0.755,-1.06494528125,-1.44720975155
103,50.49,0.7575,0.366469164809,-0.355709435778
104,50.49,0.76,0.717071733411,-1.25529642329
105,50.49,0.7625,2.40088892233,-1.08885358273
106,50.49,0.765,2.64194724404,-0.914680884544
107,50.49,0.7675,3.05061380152,-1.4965895849
108,50.49,0.77,2.76376719965,-1.75180678663
